Date:date,year:year,Diesel (nominal):number,"All petrol, unleaded equivalent (nominal):number","All fuel, unleaded petrol equivalent (nominal):number","All fuel, unleaded petrol equivalent (real*):number","Average, all fuel, unleaded petrol equivalent (real*, weighted by consumption):number","All fuel, unleaded petrol equivalent (real*, excl. tax):text","Average, all fuel, unleaded petrol equivalent (real*, weighted by consumption, excl. tax):number","Diesel (nominal, excl. tax):text","All fuel, unleaded petrol equivalent (nominal, excl. tax):text","All petrol, unleaded equivalent (nominal, excl. tax):text"
1/15/1980,,0.364,0.482,0.392,0.986,1.163,,0.459,,,
4/15/1980,,0.39,0.518,0.42,1.047,1.163,,0.459,,,
7/15/1980,,0.4,0.535,0.433,1.077,1.163,,0.459,,,
10/15/1980,,0.401,0.525,0.428,1.052,1.163,,0.459,,,
1/15/1981,,0.414,0.562,0.453,1.023,1.163,,0.459,,,
4/15/1981,,0.459,0.618,0.499,1.095,1.163,,0.459,,,
7/15/1981,,0.465,0.646,0.517,1.101,1.163,,0.459,,,
10/15/1981,,0.476,0.652,0.524,1.083,1.163,,0.459,,,
1/15/1982,,0.486,0.647,0.524,1.15,1.163,,0.459,,,
4/15/1982,,0.479,0.631,0.513,1.105,1.163,,0.459,,,
7/15/1982,,0.5,0.674,0.544,1.136,1.163,,0.459,,,
10/15/1982,,0.529,0.709,0.573,1.171,1.163,,0.459,,,
1/15/1983,,0.53,0.68,0.557,1.117,1.163,,0.459,,,
4/15/1983,,0.508,0.674,0.547,1.084,1.163,,0.459,,,
7/15/1983,,0.515,0.703,0.566,1.101,1.163,,0.459,,,
10/15/1983,,0.527,0.711,0.574,1.091,1.163,,0.459,,,
1/15/1984,,0.535,0.718,0.581,1.09,1.163,,0.459,,,
4/15/1984,,0.539,0.707,0.576,1.066,1.163,,0.459,,,
7/15/1984,,0.537,0.719,0.582,1.058,1.163,,0.459,,,
10/15/1984,,0.571,0.745,0.608,1.083,1.163,,0.459,,,
1/15/1985,,0.576,0.733,0.603,1.063,1.163,,0.459,,,
4/15/1985,,0.609,0.765,0.631,1.097,1.163,,0.459,,,
7/15/1985,,0.572,0.767,0.622,1.069,1.163,,0.459,,,
10/15/1985,,0.58,0.737,0.606,1.028,1.163,,0.459,,,
1/15/1986,,0.543,0.7,0.571,0.992,1.163,,0.459,,,
4/15/1986,,0.482,0.615,0.503,0.874,1.163,,0.459,,,
7/15/1986,,0.432,0.596,0.476,0.819,1.163,,0.459,,,
10/15/1986,,0.444,0.633,0.501,0.853,1.163,,0.459,,,
1/15/1987,,0.446,0.608,0.489,0.818,1.163,,0.459,,,
4/15/1987,,0.447,0.617,0.494,0.819,1.163,,0.459,,,
7/15/1987,,0.438,0.611,0.488,0.801,1.163,,0.459,,,
10/15/1987,,0.452,0.612,0.493,0.804,1.163,,0.459,,,
1/15/1988,,0.44,0.589,0.476,0.771,1.163,,0.459,,,
4/15/1988,,0.44,0.603,0.483,0.772,1.163,,0.459,,,
7/15/1988,,0.441,0.615,0.49,0.771,1.163,,0.459,,,
10/15/1988,,0.438,0.605,0.484,0.752,1.163,,0.459,,,
1/15/1989,,0.461,0.627,0.505,0.775,1.163,,0.459,,,
4/15/1989,,0.48,0.68,0.542,0.815,1.163,,0.459,,,
